parameter,label,converger_global,ST_C_M_alpha,ST_C_L_q,ST_C_M_q,ST_C_Y_p,ST_C_L_p,ST_C_N_p,ST_C_Y_beta,ST_C_L_beta,ST_C_N_beta,ST_C_Y_r,ST_C_L_r,ST_C_N_r,ST_cg_cruise_fwd_ok,ST_cg_cruise_aft_ok,ST_cg_vtol_fwd_ok,ST_cg_vtol_aft_ok,ST_n_failed,ST_mtow
s_aft_to_s_total,aft/total wing-area split,,0.858111,0.621785,0.644657,0.018716,0.001795,0.046989,0.000000,0.087989,0.000000,0.000000,0.000000,0.000000,0.000000,0.156405,0.000000,0.000000,0.535904,0.000000
wing_geometry.design_point,wing loading W/S,WING_LOADING_N,0.000925,0.167738,0.035448,0.015840,0.230307,0.071478,0.000000,0.006039,0.000000,0.000000,0.210555,0.000002,0.000000,0.000259,0.000000,0.000000,0.000000,0.039333
wing_geometry.taper_fw,wing taper,TAPER_W,0.001780,0.023431,0.013275,0.000000,0.000000,0.001660,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000060,0.000000,0.000000,0.000000,0.000000
wing_geometry.stagger,wing stagger,,0.000723,0.000000,0.000000,0.000000,0.000000,0.000312,0.010034,0.000799,0.000552,0.000517,0.000000,0.000015,0.000000,0.201475,0.000000,0.000000,0.123670,0.000000
wing_geometry.gap,wing gap,,0.000309,0.000000,0.000000,0.000167,0.001142,0.000295,0.009491,0.144956,0.000522,0.000489,0.000000,0.000014,0.000000,0.000564,0.000000,0.000000,0.000000,0.000000
wing_geometry.x_LEMAC_fw,front-wing LEMAC x,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.935071,0.532889,0.000000,0.000000,0.206117,0.000000
wing_geometry.dihedral_front_wing,front-wing dihedral,,0.000000,0.000000,0.000000,0.294934,0.000546,0.000000,0.002037,0.043103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
wing_geometry.dihedral_aft_wing,aft-wing dihedral,,0.000000,0.000000,0.000000,0.582535,0.011678,0.000000,0.004119,0.099591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
wing_geometry.z_w_fw,front-wing height z,,0.000000,0.000000,0.000000,0.000242,0.002435,0.000000,0.000000,0.399966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
wing_geometry.LE_sweep_fw,front-wing LE sweep,,0.000023,0.000500,0.000049,0.000000,0.000000,0.019447,0.000000,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000
wing_geometry.LE_sweep_aw,aft-wing LE sweep,,0.000026,0.001477,0.000010,0.000000,0.000000,0.089865,0.000000,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tail_geometry.b_vert_tail,vertical-tail span,,0.000000,0.000000,0.000000,0.000000,0.000000,0.291080,0.617517,0.049193,0.476580,0.482322,0.000000,0.234952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tail_geometry.x_vert_tail,vertical-tail arm,,0.000000,0.000000,0.000000,0.000000,0.000000,0.054191,0.000000,0.000000,0.095735,0.089795,0.000000,0.163586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tail_geometry.c_r_vert_tail,v-tail root chord,,0.000000,0.000000,0.000000,0.000000,0.000000,0.055759,0.098964,0.007884,0.091780,0.092393,0.000000,0.055130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
tail_geometry.c_t_vert_tail,v-tail tip chord,,0.000000,0.000000,0.000000,0.000000,0.000000,0.035641,0.072159,0.005748,0.058569,0.059058,0.000000,0.031269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
winglet_geometry.S_winglet,winglet area,,0.000000,0.000000,0.000000,0.000000,0.000000,0.001808,0.058093,0.004628,0.003194,0.002995,0.000000,0.000089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
winglet_geometry.b_winglet,winglet span,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000924,0.029708,0.002367,0.001633,0.001532,0.000000,0.000045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fuselage_geometry.fuselage_length,fuselage length,L_FUS,0.000033,0.009279,0.001507,0.001019,0.010646,0.015502,0.000000,0.000299,0.012440,0.000000,0.034253,0.000033,0.000000,0.000017,0.000000,0.000000,0.000000,0.695222
fuselage_geometry.d_fw,fuselage width,FUSE_WIDTH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030529,0.000000,0.000000,0.000000,0.000000,0.000000,0.002018,0.000000,0.000000,0.000000,0.000000
